Node;Force;X;Y;Z
16828;1,59E+02;299,9999085;3000;-75
42430;1,44E+02;299,9999085;2990,060791;-75
16840;-9,30E+00;299,9999085;2980,121338;-75
35451;-2,81E+01;299,9999085;2970,009277;-75
16841;-7,61E+01;299,9999085;2959,897217;-75
45931;9,55E+00;299,9999085;2949,498291;-75
16842;2,84E+01;299,9999085;2939,098877;-75
47305;2,79E+01;299,9999085;2928,399658;-75
16843;2,83E+00;299,9999085;2917,699951;-75
45101;-5,76E+00;299,9999085;2906,835205;-75
16844;1,26E-01;299,9999085;2895,970703;-75
43495;-3,93E+00;299,9999085;2885,088867;-75
16845;1,84E+00;299,9999085;2874,207275;-75
32596;-1,34E+00;299,9999085;2863,357666;-75
16846;-6,57E-01;299,9999085;2852,508301;-75
29778;-1,40E+00;299,9999085;2841,828125;-75
16847;-2,25E+00;299,9999085;2831,147949;-75
37046;2,54E+00;299,9999085;2820,740967;-75
16848;2,87E+00;299,9999085;2810,333984;-75
45971;-1,36E+01;299,9999085;2800,201416;-75
16849;3,86E+00;299,9999085;2790,068604;-75
45090;-3,63E+00;299,9999085;2780,112305;-75
16850;-4,80E+00;299,9999085;2770,15625;-75
42865;6,66E+00;299,9999085;2760,17041;-75
16851;-5,25E+00;299,9999085;2750,18457;-75
40305;2,45E+00;299,9999085;2740,007813;-75
16852;-4,37E+00;299,9999085;2729,831055;-75
31113;7,00E-01;299,9999085;2719,384766;-75
16853;-2,29E+00;299,9999085;2708,938232;-75
42725;-1,08E+00;299,9999085;2698,2146;-75
16854;-2,40E+00;299,9999085;2687,490723;-75
42722;-2,08E+00;299,9999085;2676,590088;-75
16855;-2,04E+00;299,9999085;2665,689697;-75
33291;-2,07E+00;299,9999085;2654,742676;-75
16856;-1,73E+00;299,9999085;2643,795898;-75
42784;-1,78E+00;299,9999085;2632,90625;-75
16857;-1,71E+00;299,9999085;2622,016357;-75
36663;-1,82E+00;299,9999085;2611,349609;-75
16858;-1,16E+00;299,9999085;2600,682617;-75
29284;-4,17E-01;299,9999085;2590,3125;-75
16859;-9,84E-01;299,9999085;2579,941895;-75
46656;-2,15E+00;299,9999085;2569,840332;-75
16860;-1,35E+00;299,9999085;2559,739014;-75
45855;-2,25E-01;299,9999085;2549,787354;-75
16861;-1,10E+00;299,9999085;2539,835449;-75
31630;-1,55E+00;299,9999085;2529,840088;-75
16862;-1,51E+00;299,9999085;2519,844482;-75
34205;-1,28E+00;299,9999085;2509,640381;-75
16863;-9,61E-01;299,9999085;2499,436279;-75
27050;-1,45E+00;299,9999085;2488,977051;-75
16864;-9,81E-01;299,9999085;2478,517334;-75
27762;-1,56E+00;299,9999085;2467,785889;-75
16865;-9,36E-01;299,9999085;2457,054443;-75
26583;-1,76E+00;299,9999085;2446,082031;-75
16866;-8,31E-01;299,9999085;2435,109619;-75
24884;-4,61E-01;299,9999085;2424,02832;-75
16867;-9,79E-01;299,9999085;2412,94751;-75
43867;-1,56E+00;299,9999085;2402,00708;-75
16868;-1,24E+00;299,9999085;2391,066895;-75
37582;-1,72E+00;299,9999085;2380,439941;-75
16869;-1,20E+00;299,9999085;2369,813232;-75
44750;-1,60E+00;299,9999085;2359,474854;-75
16870;-5,97E-01;299,9999085;2349,136475;-75
31098;4,41E-01;299,9999085;2339,045166;-75
16871;-8,35E-01;299,9999085;2328,953369;-75
28546;-2,54E+00;299,9999085;2318,999512;-75
16872;-9,83E-01;299,9999085;2309,045898;-75
28550;-1,14E+00;299,9999085;2299,026611;-75
16873;-9,78E-01;299,9999085;2289,007568;-75
35862;-1,08E+00;299,9999085;2278,788574;-75
16874;-9,32E-01;299,9999085;2268,569336;-75
26350;-1,29E+00;299,9999085;2258,100586;-75
16875;-8,78E-01;299,9999085;2247,631592;-75
22939;-1,83E+00;299,9999085;2236,870605;-75
16876;-9,90E-01;299,9999085;2226,109619;-75
39202;-1,70E+00;299,9999085;2215,054932;-75
16877;-6,57E-01;299,9999085;2204,000732;-75
42530;-3,46E-01;299,9999085;2192,86499;-75
16878;-9,22E-01;299,9999085;2181,729248;-75
42672;-1,80E+00;299,9999085;2170,829834;-75
16879;-1,55E+00;299,9999085;2159,929932;-75
41670;-2,13E+00;299,9999085;2149,33667;-75
16880;-1,13E+00;299,9999085;2138,743164;-75
43866;5,30E-01;299,9999085;2128,416748;-75
16881;-3,49E-01;299,9999085;2118,090332;-75
43593;-1,32E+00;299,9999085;2108,00708;-75
16882;-4,48E-01;299,9999085;2097,924072;-75
36027;-1,80E+00;299,9999085;2087,967041;-75
16883;-1,03E+00;299,9999085;2078,010254;-75
46612;-1,59E+00;299,9999085;2067,986572;-75
16884;-9,21E-01;299,9999085;2057,962646;-75
47548;-1,59E+00;299,9999085;2047,736938;-75
16885;-8,96E-01;299,9999085;2037,511108;-75
43586;-2,16E+00;299,9999085;2027,012329;-75
16886;-6,22E-01;299,9999085;2016,513306;-75
41481;9,54E-02;299,9999085;2005,731323;-75
16887;-1,08E+00;299,9999085;1994,949463;-75
46685;-1,34E+00;299,9999085;1983,881592;-75
16888;-1,17E+00;299,9999085;1972,813721;-75
29149;-2,10E+00;299,9999085;1961,68689;-75
16889;-9,03E-01;299,9999085;1950,560059;-75
34129;-1,05E+00;299,9999085;1939,694092;-75
16890;-9,45E-01;299,9999085;1928,828003;-75
28534;-1,44E+00;299,9999085;1918,241455;-75
16891;-1,08E+00;299,9999085;1907,654907;-75
29265;-1,02E+00;299,9999085;1897,323853;-75
16892;-9,46E-01;299,9999085;1886,992798;-75
27961;-1,33E+00;299,9999085;1876,905151;-75
16893;-8,66E-01;299,9999085;1866,817627;-75
32478;-1,37E+00;299,9999085;1856,875366;-75
16894;-7,43E-01;299,9999085;1846,933105;-75
34095;-9,94E-01;299,9999085;1836,93335;-75
16895;-8,35E-01;299,9999085;1826,933716;-75
28443;-1,36E+00;299,9999085;1816,719482;-75
16896;-8,31E-01;299,9999085;1806,505493;-75
29015;-1,42E+00;299,9999085;1796,031494;-75
16897;-1,00E+00;299,9999085;1785,557495;-75
32547;-1,64E+00;299,9999085;1774,81189;-75
16898;-1,16E+00;299,9999085;1764,066162;-75
29850;-1,32E+00;299,9999085;1753,012695;-75
16899;-4,82E-01;299,9999085;1741,958984;-75
37627;2,57E-01;299,9999085;1730,815063;-75
16900;-1,10E+00;299,9999085;1719,671143;-75
34128;-2,52E+00;299,9999085;1708,766235;-75
16901;-1,43E+00;299,9999085;1697,86145;-75
29074;-1,50E+00;299,9999085;1687,221313;-75
16902;-4,03E-01;299,9999085;1676,581055;-75
41679;-3,41E-01;299,9999085;1666,205688;-75
16903;-3,55E-01;299,9999085;1655,830322;-75
31616;-1,65E+00;299,9999085;1645,700562;-75
16904;-1,18E+00;299,9999085;1635,570923;-75
40814;-1,58E+00;299,9999085;1625,608521;-75
16905;-8,79E-01;299,9999085;1615,64624;-75
36200;-1,36E+00;299,9999085;1605,661377;-75
16906;-8,15E-01;299,9999085;1595,676636;-75
27880;-1,29E+00;299,9999085;1585,50647;-75
16907;-9,46E-01;299,9999085;1575,336304;-75
22788;-1,22E+00;299,9999085;1564,924927;-75
16908;-1,09E+00;299,9999085;1554,513428;-75
32412;-1,15E+00;299,9999085;1543,817017;-75
16909;-1,12E+00;299,9999085;1533,120728;-75
29132;-1,19E+00;299,9999085;1522,12793;-75
16910;-1,02E+00;299,9999085;1511,135254;-75
25267;-1,45E+00;299,9999085;1499,999756;-75
16911;-9,90E-01;299,9999085;1488,864258;-75
32419;-1,40E+00;299,9999085;1477,871704;-75
16912;-8,91E-01;299,9999085;1466,878906;-75
42712;-1,44E+00;299,9999085;1456,182617;-75
16913;-1,17E+00;299,9999085;1445,486328;-75
46821;-9,73E-01;299,9999085;1435,074951;-75
16914;-9,00E-01;299,9999085;1424,663574;-75
44251;-1,64E+00;299,9999085;1414,493286;-75
16915;-7,72E-01;299,9999085;1404,323242;-75
42566;-1,37E+00;299,9999085;1394,338379;-75
16916;-9,91E-01;299,9999085;1384,353638;-75
46507;-1,13E+00;299,9999085;1374,391357;-75
16917;-8,64E-01;299,9999085;1364,428955;-75
46626;-1,03E+00;299,9999085;1354,299316;-75
16918;-1,19E+00;299,9999085;1344,169678;-75
43847;-9,24E-01;299,9999085;1333,794189;-75
16919;-1,32E+00;299,9999085;1323,418823;-75
47497;-9,29E-01;299,9999085;1312,778687;-75
16920;-1,57E+00;299,9999085;1302,138428;-75
42880;-1,51E+00;299,9999085;1291,233643;-75
16921;-1,17E+00;299,9999085;1280,328857;-75
23652;-5,08E-02;299,9999085;1269,184814;-75
16922;-7,14E-01;299,9999085;1258,040894;-75
44672;-1,29E+00;299,9999085;1246,987305;-75
16923;-7,78E-01;299,9999085;1235,933716;-75
30253;-1,71E+00;299,9999085;1225,187988;-75
16924;-9,92E-01;299,9999085;1214,442383;-75
38216;-1,47E+00;299,9999085;1203,968262;-75
16925;-8,27E-01;299,9999085;1193,494263;-75
46436;-1,42E+00;299,9999085;1183,280273;-75
16926;-9,02E-01;299,9999085;1173,066162;-75
32575;-1,23E+00;299,9999085;1163,066406;-75
16927;-1,04E+00;299,9999085;1153,06665;-75
37511;-7,88E-01;299,9999085;1143,12439;-75
16928;-7,92E-01;299,9999085;1133,181885;-75
27994;-1,31E+00;299,9999085;1123,09436;-75
16929;-1,20E+00;299,9999085;1113,006836;-75
27984;-9,76E-01;299,9999085;1102,675781;-75
16930;-1,20E+00;299,9999085;1092,344727;-75
25729;-1,13E+00;299,9999085;1081,758301;-75
16931;-9,46E-01;299,9999085;1071,171753;-75
25159;-1,22E+00;299,9999085;1060,305664;-75
16932;-1,11E+00;299,9999085;1049,439697;-75
24942;-1,28E+00;299,9999085;1038,312744;-75
16933;-1,17E+00;299,9999085;1027,185913;-75
22317;-1,25E+00;299,9999085;1016,118042;-75
16934;-1,07E+00;299,9999085;1005,050171;-75
27900;-1,36E+00;299,9999085;994,2682495;-75
16935;-7,89E-01;299,9999085;983,4862671;-75
27911;-1,54E+00;299,9999085;972,9873047;-75
16936;-8,67E-01;299,9999085;962,4883423;-75
25649;-1,37E+00;299,9999085;952,2626343;-75
16937;-1,14E+00;299,9999085;942,0369873;-75
24834;-1,17E+00;299,9999085;932,0131836;-75
16938;-1,41E+00;299,9999085;921,9893189;-75
46605;-7,01E-01;299,9999085;912,0323486;-75
16939;-1,06E+00;299,9999085;902,0754395;-75
44977;-8,45E-01;299,9999085;891,9923096;-75
16940;-1,50E+00;299,9999085;881,9091187;-75
41340;-1,08E+00;299,9999085;871,5827637;-75
16941;-1,15E+00;299,9999085;861,2564087;-75
29808;-9,01E-01;299,9999085;850,6629639;-75
16942;-1,36E+00;299,9999085;840,069519;-75
39293;-1,11E+00;299,9999085;829,1698608;-75
16943;-1,38E+00;299,9999085;818,2701416;-75
33211;-9,11E-01;299,9999085;807,1343994;-75
16944;-1,32E+00;299,9999085;795,9986572;-75
32567;-1,13E+00;299,9999085;784,9442139;-75
16945;-1,00E+00;299,9999085;773,8898315;-75
23618;-1,36E+00;299,9999085;763,1289063;-75
16946;-8,63E-01;299,9999085;752,3678589;-75
26595;-1,29E+00;299,9999085;741,8989868;-75
16947;-1,52E+00;299,9999085;731,4302368;-75
42726;-2,42E+00;299,9999085;721,2109985;-75
16948;-1,01E+00;299,9999085;710,9918213;-75
42744;-5,02E-01;299,9999085;700,9727173;-75
16949;1,19E+00;299,9999085;690,9536743;-75
28499;1,13E+00;299,9999085;680,9998779;-75
16950;-2,11E+00;299,9999085;671,0460815;-75
42853;-3,02E+00;299,9999085;660,9544678;-75
16951;-1,06E+00;299,9999085;650,862854;-75
24534;-8,66E-01;299,9999085;640,5245361;-75
16952;-1,01E+00;299,9999085;630,1861572;-75
46618;-1,42E+00;299,9999085;619,5593872;-75
16953;-1,07E+00;299,9999085;608,9326172;-75
46621;-1,41E+00;299,9999085;597,9921875;-75
16954;-1,37E+00;299,9999085;587,0518189;-75
44911;-1,48E+00;299,9999085;575,9710083;-75
16955;-9,96E-01;299,9999085;564,8901367;-75
46344;-5,66E-01;299,9999085;553,9177856;-75
16956;-9,53E-01;299,9999085;542,9453735;-75
39322;-1,67E+00;299,9999085;532,2140503;-75
16957;-1,15E+00;299,9999085;521,4827271;-75
39320;-1,56E+00;299,9999085;511,0231628;-75
16958;-1,39E+00;299,9999085;500,5636292;-75
45608;-1,57E+00;299,9999085;490,3595581;-75
16959;-8,04E-01;299,9999085;480,1554565;-75
31772;-7,07E-01;299,9999085;470,1599731;-75
16960;-1,80E+00;299,9999085;460,1644898;-75
31529;-1,20E+00;299,9999085;450,212738;-75
16961;-9,16E-01;299,9999085;440,2610169;-75
40163;-3,53E-01;299,9999085;430,1595154;-75
16962;-1,35E+00;299,9999085;420,0579834;-75
34010;-1,87E+00;299,9999085;409,6876526;-75
16963;-1,39E+00;299,9999085;399,3172607;-75
22930;-1,68E+00;299,9999085;388,6502991;-75
16964;-1,61E+00;299,9999085;377,9833374;-75
34109;-1,61E+00;299,9999085;367,0935669;-75
16965;-1,73E+00;299,9999085;356,2038269;-75
26339;-2,08E+00;299,9999085;345,2571106;-75
16966;-2,04E+00;299,9999085;334,3104248;-75
27982;-1,99E+00;299,9999085;323,4099426;-75
16967;-2,26E+00;299,9999085;312,509491;-75
24567;-7,18E-01;299,9999085;301,7857971;-75
16968;-3,96E+00;299,9999085;291,0621033;-75
24926;7,55E-01;299,9999085;280,6157532;-75
16969;-4,11E+00;299,9999085;270,169342;-75
24933;4,25E+00;299,9999085;259,9925232;-75
16970;-5,23E+00;299,9999085;249,8156738;-75
24280;3,15E+00;299,9999085;239,829895;-75
16971;-7,34E+00;299,9999085;229,844101;-75
23214;6,06E+00;299,9999085;219,8877411;-75
16972;-5,26E+00;299,9999085;209,9313812;-75
23218;-1,04E+00;299,9999085;199,7987671;-75
16973;-3,19E+00;299,9999085;189,666153;-75
47523;2,04E-01;299,9999085;179,2592163;-75
16974;-2,93E+00;299,9999085;168,8522797;-75
35489;-3,34E-01;299,9999085;158,1720734;-75
16975;-2,33E-01;299,9999085;147,4918671;-75
43827;-1,04E+00;299,9999085;136,6424255;-75
16976;1,22E+00;299,9999085;125,7929916;-75
36589;-4,06E+00;299,9999085;114,9109039;-75
16977;-1,07E+00;299,9999085;104,0288086;-75
32983;-1,05E+01;299,9999085;93,16438293;-75
16978;-1,17E+00;299,9999085;82,2999649;-75
37616;4,13E+01;299,9999085;71,60057068;-75
16979;2,90E+01;299,9999085;60,90118408;-75
37612;1,03E+01;299,9999085;50,50191879;-75
16980;-7,34E+01;299,9999085;40,10266113;-75
43517;-3,23E+01;299,9999085;29,99063492;-75
16981;-2,04E+01;299,9999085;19,87861061;-75
22186;1,57E+02;299,9999085;9,93930531;-75
16829;1,53E+02;299,9999085;0;-75
